100%;;;;;;;;;;;;;;
Sous-jacent;Type;Échéance;Achat;Vente;Cours du Sous-Jacent;Parité (ss-jacent/produit);Frais de gestion/an;Éligible PEA;Garantie de change;Dividendes;Perf 1 an;Mnémo;Isin;Dernière mise à jour
GOOD DIV;;5 déc. 16;711,67 € (c);715,94 € (c);1 pts;1/1;0,8 %;Non;Non;-;+10,66 %;3721s;XS0277691951;08/02/2010 17:29:54
GOOD DIV COUPON;;20 fév. 17;621,97 € (c);625,70 € (c);1 pts;1/1;0,8 %;Non;Non;-;+3,53 %;1187s;FR0010440438;08/02/2010 17:29:54
HSCEI;;23 jan. 15;99,72 € (c);100,72 € (c);12 823,17 pts;1/1;1 %;Non;Non;-;+29,98 %;3217s;FR0010157628;08/02/2010 17:29:48
INDE;;23 jan. 15;95,94 € (c);96,91 € (c);997,31 pts;1/10;1 %;Non;Non;-;+98,38 %;2249s;FR0010331462;08/02/2010 17:29:48
KOSPI;;23 jan. 15;120,30 € (c);122,72 € (c);203,37 pts;1/1 000;1 %;Non;Non;-;+42,55 %;4970s;FR0010278317;08/02/2010 17:29:50
LAIT;;Ouverte;13,92 € (c);14,00 € (c);13,55 $;1,0299/1;1 %;Non;Oui;-; 22,12 %;2126s;FR0010513424;08/02/2010 17:23:37
LEAN HOGS (PORC);;Ouverte;58,92 € (c);59,17 € (c);0,68 $;87,5205/1;1 %;Non;Oui;-; 16,60 %;2381s;FR0010583708;08/02/2010 17:28:09
LIVE CATTLE (BETAIL);;Ouverte;73,52 € (c);73,77 € (c);0,91 $;84,8053/1;1 %;Non;Oui;-; 5,94 %;2380s;FR0010583682;08/02/2010 17:29:44
M&A;;Ouverte;95,72 € (c);96,69 € (c);--;1/1;0,4 %;Non;--;-;  ;7201s;FR0010852376;08/02/2010 17:29:54
M&A STYLE;;28 avril 17;68,04 € (c);68,59 € (c);1 pts;1/1;0,4 %;Non;Non;-;+25,02 %;4881s;XS0298554477;08/02/2010 17:29:46
MAIS;;Ouverte;23,47 € (c);23,57 € (c);3,60 $;6,5725/1;0,5 %;Non;Oui;-; 16,13 %;4721s;FR0010454983;08/02/2010 17:29:51
MAIS;;Ouverte;19,18 € (c);19,24 € (c);3,60 $;7,3087/1;0,2 %;Non;Non;-; 22,46 %;3249s;FR0010536490;08/02/2010 17:29:51
MAIS;;9 mars 10;26,15 € (c);26,25 € (c);3,60 $;10/1;0,2 %;Non;Non;-;  ;7004s;FR0010795120;08/02/2010 17:29:51
NASDAQ 100;;Ouverte;167,76 € (c);168,06 € (c);1,63 pts;1/10;0,5 %;Non;Oui;-;+40,55 %;4615s;FR0010453415;08/02/2010 17:29:49
NICKEL;;29 déc. 10;187,10 € (c);187,40 € (c);17 048,50 $;1,11/100;1 %;Non;Oui;-;+43,93 %;1964s;FR0010316489;08/02/2010 17:29:44
NICKEL;;Ouverte;117,20 € (c);117,50 € (c);17 048,50 $;0,9399/100;0,2 %;Non;Non;-;+34,58 %;3250s;FR0010536508;08/02/2010 17:28:58
NIKKEI 225;;23 jan. 15;97,11 € (c);97,89 € (c);1,63 pts;1/100;0,5 %;Non;Oui;-;+21,13 %;3034s;FR0010382374;08/02/2010 17:28:51
NIKKEI 225;;23 jan. 15;77,26 € (c);78,05 € (c);9 978 pts;1/100;0,5 %;Non;Non;-;+17,16 %;3216s;FR0010157503;08/02/2010 17:29:51
NIKKEI 225;;23 jan. 15;795,64 € (c);802,10 € (c);9 978 pts;1/10;0,5 %;Non;Non;-;+17,21 %;4673s;FR0010256172;08/02/2010 17:29:51
OR;;23 jan. 15;102,50 € (c);104,60 € (c);1 068,90 $;1/10;1,5 %;Non;Oui;-;+14,96 %;3233s;FR0010391201;08/02/2010 17:29:33
OR;;Ouverte;77,85 € (c);77,95 € (c);1 068,90 $;1/10;0,3 %;Non;Non;-;+9,72 %;8631s;FR0010638494;08/02/2010 17:29:49
OR;;Ouverte;104,10 € (c);104,20 € (c);1 068,90 $;1/10;0,3 %;Non;Oui;-;+14,92 %;9202s;FR0010673350;08/02/2010 17:28:14
PALLADIUM;;23 jan. 15;57,00 € (c);58,50 € (c);403 $;1/5;0,5 %;Non;Non;-;+80,30 %;4972s;FR0010278077;08/02/2010 17:29:40
