Turbos Infinis;;;;;;;;;;
Type Turbo;Échéance;Niveau de financement;Seuil de sécurité;Parité (turbo/ss-jacent);Achat;Vente;Effet de levier;Mnémo;Isin;Dernière mise à jour
Infini Put;Ouverte;5 278,84 pts;5 205,47 pts;100/1;16,69 € (c);16,73 € (c);2,16;1169S;FR0010574459;08/02/2010 17:29:49
Infini Put;Ouverte;5 331,28 pts;5 257,18 pts;100/1;17,22 € (c);17,25 € (c);2,09;4666S;FR0010568063;08/02/2010 17:29:54
Infini Put;Ouverte;5 492,07 pts;5 415,74 pts;100/1;18,83 € (c);18,86 € (c);1,91;4329S;FR0010560904;08/02/2010 17:29:54
Infini Put;Ouverte;5 875,47 pts;5 793,81 pts;100/1;22,66 € (c);22,70 € (c);1,59;2100S;FR0010509968;08/02/2010 17:29:49
Infini Put;Ouverte;5 926,83 pts;5 844,45 pts;100/1;23,17 € (c);23,21 € (c);1,56;2099S;FR0010509950;08/02/2010 17:29:49
Infini Put;Ouverte;6 037,71 pts;5 953,79 pts;100/1;24,28 € (c);24,32 € (c);1,48;1468S;FR0010498972;08/02/2010 17:29:49
Infini Put;Ouverte;6 246,04 pts;6 065,43 pts;200/1;13,17 € (c);13,21 € (c);1,37;2159S;FR0010324293;08/02/2010 17:28:51
Infini Put;Ouverte;6 294,87 pts;6 207,38 pts;100/1;26,85 € (c);26,89 € (c);1,34;1470S;FR0010499038;08/02/2010 17:29:49
Infini Put;Ouverte;6 360,91 pts;6 176,98 pts;100/1;27,51 € (c);27,55 € (c);1,31;3372S;FR0010401190;08/02/2010 17:29:49
;;;;;;;;;;
Contrat Euro Bund 03/10  123,99300;;;;;;;;;;
Infini Call;Ouverte;118,05748;119,05773;1/1;5,91 € (c);5,97 € (c);20,87;7141S;FR0010844837;08/02/2010 17:29:50
Infini Call;Ouverte;115,0815;116,05653;1/1;8,88 € (c);8,94 € (c);13,92;7140S;FR0010844811;08/02/2010 17:29:50
Infini Call;Ouverte;112,10551;113,05533;1/1;11,86 € (c);11,92 € (c);10,43;7139S;FR0010844761;08/02/2010 17:29:50
Infini Call;Ouverte;109,12952;110,05413;1/1;14,84 € (c);14,90 € (c);8,34;7138S;FR0010844738;08/02/2010 17:29:50
Infini Call;Ouverte;106,15354;107,05293;1/1;17,81 € (c);17,87 € (c);6,95;7137S;FR0010844712;08/02/2010 17:29:50
Infini Call;Ouverte;102,98548;103,87811;1/1;20,98 € (c);21,04 € (c);5,90;2501S;FR0010344234;08/02/2010 17:29:50
Infini Call;Ouverte;94,24959;95,04813;1/1;29,72 € (c);29,78 € (c);4,17;7136S;FR0010844688;08/02/2010 17:29:50
Infini Call;Ouverte;84,32964;85,04413;1/1;39,64 € (c);39,70 € (c);3,13;7135S;FR0010844621;08/02/2010 17:29:50
Infini Put;Ouverte;127,07516;125,94862;1/1;3,05 € (c);3,11 € (c);40,26;7142S;FR0010844852;08/02/2010 17:29:50
Infini Put;Ouverte;130,10052;128,94717;1/1;6,08 € (c);6,14 € (c);20,29;7143S;FR0010844886;08/02/2010 17:29:50
Infini Put;Ouverte;133,12588;131,94571;1/1;9,10 € (c);9,16 € (c);13,58;7144S;FR0010844639;08/02/2010 17:29:50
Infini Put;Ouverte;136,15124;134,94425;1/1;12,13 € (c);12,19 € (c);10,20;7145S;FR0010844647;08/02/2010 17:29:50
Infini Put;Ouverte;139,1766;137,94279;1/1;15,15 € (c);15,21 € (c);8,17;7146S;FR0010844670;08/02/2010 17:29:50
Infini Put;Ouverte;146,23578;144,93939;1/1;22,21 € (c);22,27 € (c);5,58;7147S;FR0010844696;08/02/2010 17:29:50
Infini Put;Ouverte;161,37257;159,94199;1/1;37,35 € (c);37,41 € (c);3,32;7148S;FR0010844720;08/02/2010 17:29:50
;;;;;;;;;;
DJ EUROSTOXX 50  2 665,67 pts;;;;;;;;;;
Infini Call;Ouverte;2 530,91 pts;2 605,51 pts;100/1;1,32 € (c);1,36 € (c);19,89;7024S;FR0010803932;08/02/2010 17:29:44
Infini Call;Ouverte;2 432,72 pts;2 504,42 pts;100/1;2,30 € (c);2,34 € (c);11,49;7025S;FR0010803940;08/02/2010 17:29:44
Infini Put;Ouverte;3 276,20 pts;3 178,74 pts;100/1;6,09 € (c);6,13 € (c);4,36;7007S;FR0010798058;08/02/2010 17:29:44
Infini Put;Ouverte;3 378,36 pts;3 277,87 pts;100/1;7,11 € (c);7,15 € (c);3,74;7167S;FR0010847913;08/02/2010 17:29:44
Infini Put;Ouverte;3 426,17 pts;3 375,91 pts;100/1;7,59 € (c);7,63 € (c);3,50;9047S;FR0010657999;08/02/2010 17:29:44
Infini Put;Ouverte;3 584,30 pts;3 477,68 pts;100/1;9,17 € (c);9,21 € (c);2,90;7168S;FR0010847921;08/02/2010 17:29:44
Infini Put;Ouverte;3 687,28 pts;3 577,59 pts;100/1;10,20 € (c);10,24 € (c);2,61;7169S;FR0010847939;08/02/2010 17:29:44
Infini Put;Ouverte;3 790,24 pts;3 677,50 pts;100/1;11,23 € (c);11,27 € (c);2,37;7170S;FR0010847947;08/02/2010 17:29:44
