Bonus Cappé;;;;;;;;;;;;;
Sous-jacent;Niveau bonus;Barrière;Constatation finale;Échéance;Parité (produit/ss-jacent);Achat;Vente;Cours du Sous-Jacent;Rendement max. potentiel *;Ecart/seuil **;Mnémo;Isin;Dernière mise à jour
CAC 40;4 255 pts;3 385,80 pts;24 sept. 10;8 oct. 10;100/1;36,25 € (c);36,40 € (c);3 607,79 pts;16,90%; 6,15%;7217S;FR0010854570;08/02/2010 17:29:54
CAC 40;4 275 pts;3 197,70 pts;23 déc. 10;6 jan. 11;100/1;36,38 € (c);36,53 € (c);3 607,79 pts;17,03%; 11,37%;7221S;FR0010854620;08/02/2010 17:29:54
CAC 40;4 275 pts;3 009,60 pts;25 mars 11;8 avril 11;100/1;36,50 € (c);36,65 € (c);3 607,79 pts;16,64%; 16,58%;7227S;FR0010854695;08/02/2010 17:29:51
CAC 40;4 390 pts;3 197,70 pts;25 mars 11;8 avril 11;100/1;36,31 € (c);36,46 € (c);3 607,79 pts;20,41%; 11,37%;7226S;FR0010854760;08/02/2010 17:29:49
CAC 40;4 420 pts;3 385,80 pts;23 déc. 10;6 jan. 11;100/1;36,08 € (c);36,23 € (c);3 607,79 pts;22,00%; 6,15%;7220S;FR0010854612;08/02/2010 17:29:49
CAC 40;4 540 pts;3 385,80 pts;25 mars 11;8 avril 11;100/1;36,06 € (c);36,21 € (c);3 607,79 pts;25,38%; 6,15%;7225S;FR0010854752;08/02/2010 17:29:49
CAC 40;4 695 pts;2 700,15 pts;24 oct. 11;9 nov. 11;100/1;37,83 € (c);37,98 € (c);3 607,79 pts;23,62%; 25,16%;0585S;FR0010819540;08/02/2010 17:29:49
CAP GEMINI;38,11 €;23,93 €;23 déc. 10;6 jan. 11;1/1;32,36 € (c);32,51 € (c);31,22 €;17,23%; 23,35%;7183S;FR0010845040;08/02/2010 17:29:51
CARREFOUR;34,20 €;22,27 €;5 mars 10;19 mars 10;1/1;34,08 € (c);34,23 € (c);34,33 €;0,00%; 35,13%;6767S;FR0010776757;08/02/2010 17:25:00
CARREFOUR;35,37 €;22,35 €;30 sept. 10;18 oct. 10;1/1;33,84 € (c);33,99 € (c);34,33 €;4,06%; 34,90%;0284S;FR0010801555;08/02/2010 17:29:28
CREDIT AGRICOLE;15,06 €;8,99 €;30 sept. 10;18 oct. 10;1/1;11,13 € (c);11,23 € (c);10,32 €;34,11%; 12,89%;0283S;FR0010801548;08/02/2010 17:29:33
CREDIT AGRICOLE;15,29 €;9,24 €;23 déc. 10;6 jan. 11;1/1;10,63 € (c);10,73 € (c);10,32 €;42,50%; 10,47%;7184S;FR0010845057;08/02/2010 17:29:33
DEXIA;5,65 €;3,46 €;23 déc. 10;6 jan. 11;1/1;4,36 € (c);4,41 € (c);4,23 €;28,12%; 18,20%;7185S;FR0010845073;08/02/2010 17:28:35
