Warrants Indices;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
CAC 40  3 607,79 pts;;;;;;;;;;
Call;3 700 pts;19 fév. 10;0,15 € (c);0,17 € (c);200/1;31 %;34,97;0613S;FR0010832055;08/02/2010 17:28:47
Call;3 800 pts;19 fév. 10;0,04 € (c);0,06 € (c);200/1;12,6 %;45,54;0851S;FR0010843409;08/02/2010 17:20:01
Call;3 900 pts;19 fév. 10;--;--;200/1;--;--;0614S;FR0010832063;05/02/2010 16:52:07
Call;4 000 pts;19 fév. 10;--;--;200/1;--;--;0852S;FR0010843417;04/02/2010 16:42:48
Call;4 100 pts;19 fév. 10;--;--;200/1;--;--;0615S;FR0010832071;03/02/2010 15:57:46
Call;4 200 pts;19 fév. 10;--;--;200/1;--;--;0853S;FR0010843425;29/01/2010 14:44:32
Call;4 300 pts;19 fév. 10;--;--;200/1;--;--;0854S;FR0010843433;22/01/2010 10:21:06
Put;3 500 pts;19 fév. 10;0,17 € (c);0,19 € (c);200/1; 27,9 %;28,01;0616S;FR0010832089;08/02/2010 17:28:43
Put;3 600 pts;19 fév. 10;0,33 € (c);0,35 € (c);200/1; 46,8 %;24,85;0855S;FR0010843441;08/02/2010 17:28:43
Put;3 700 pts;19 fév. 10;0,61 € (c);0,63 € (c);200/1; 69,1 %;20,10;0617S;FR0010832097;08/02/2010 17:28:43
Put;3 800 pts;19 fév. 10;1,01 € (c);1,03 € (c);200/1; 87,1 %;15,40;0856S;FR0010843458;08/02/2010 17:29:54
Put;3 900 pts;19 fév. 10;1,46 € (c);1,49 € (c);200/1; 96,2 %;11,77;0618S;FR0010832105;08/02/2010 17:29:32
Put;4 000 pts;19 fév. 10;1,95 € (c);1,98 € (c);200/1; 99,2 %;9,11;0857S;FR0010843466;08/02/2010 17:29:32
Put;4 100 pts;19 fév. 10;2,44 € (c);2,49 € (c);200/1; 99,9 %;7,31;0858S;FR0010843474;08/02/2010 17:29:32
Put;4 200 pts;19 fév. 10;2,94 € (c);2,99 € (c);200/1; 100 %;6,08;0859S;FR0010843482;08/02/2010 17:29:32
Call;2 600 pts;19 mars 10;5,03 € (c);5,08 € (c);200/1;98,5 %;3,52;6211S;FR0010737015;08/02/2010 17:28:52
Call;2 800 pts;19 mars 10;4,04 € (c);4,09 € (c);200/1;96,9 %;4,30;6212S;FR0010737023;08/02/2010 17:29:54
Call;2 900 pts;19 mars 10;3,57 € (c);3,60 € (c);200/1;95,6 %;4,81;6358S;FR0010749077;08/02/2010 17:28:52
Call;3 000 pts;19 mars 10;3,09 € (c);3,12 € (c);200/1;93,7 %;5,44;6097S;FR0010732552;08/02/2010 17:29:32
Call;3 100 pts;19 mars 10;2,63 € (c);2,65 € (c);200/1;90,9 %;6,22;9934S;FR0010722710;08/02/2010 17:28:47
Call;3 200 pts;19 mars 10;2,17 € (c);2,19 € (c);200/1;86,9 %;7,19;6654S;FR0010770933;08/02/2010 17:29:49
Call;3 300 pts;19 mars 10;1,74 € (c);1,76 € (c);200/1;81,4 %;8,39;6073S;FR0010730952;08/02/2010 17:28:52
Call;3 400 pts;19 mars 10;1,34 € (c);1,36 € (c);200/1;74 %;9,89;6655S;FR0010770941;08/02/2010 17:28:47
Call;3 500 pts;19 mars 10;0,98 € (c);0,99 € (c);200/1;64,4 %;11,80;9935S;FR0010722728;08/02/2010 17:28:52
Call;3 600 pts;19 mars 10;0,67 € (c);0,68 € (c);200/1;52,9 %;14,15;9227S;FR0010674119;08/02/2010 17:28:47
Call;3 700 pts;19 mars 10;0,42 € (c);0,43 € (c);200/1;40,1 %;17,03;9936S;FR0010722736;08/02/2010 17:29:32
Call;3 800 pts;19 mars 10;0,23 € (c);0,24 € (c);200/1;27,6 %;21,18;9228S;FR0010674127;08/02/2010 17:28:52
Call;3 900 pts;19 mars 10;0,11 € (c);0,12 € (c);200/1;17,4 %;27,41;0013S;FR0010791939;08/02/2010 17:14:08
Call;4 000 pts;19 mars 10;0,01 € (c);0,03 € (c);500/1;9 %;32,52;9039S;FR0010652313;08/02/2010 17:04:35
Call;4 100 pts;19 mars 10;0,02 € (c);0,04 € (c);200/1;4,6 %;27,81;0619S;FR0010832113;08/02/2010 17:04:36
Call;4 200 pts;19 mars 10;--;--;200/1;--;--;0409S;FR0010808808;05/02/2010 16:18:24
Call;4 300 pts;19 mars 10;--;--;200/1;--;--;9937S;FR0010722744;04/02/2010 17:14:14
Call;4 400 pts;19 mars 10;--;--;200/1;--;--;0410S;FR0010808816;28/01/2010 17:10:13
Call;4 500 pts;19 mars 10;--;--;200/1;--;--;8897S;FR0010645036;25/01/2010 11:18:11
Call;5 000 pts;19 mars 10;--;--;500/1;--;--;3879S;FR0010205864;21/10/2009 16:02:00
Call;5 500 pts;19 mars 10;--;--;500/1;--;--;3880S;FR0010205872;08/06/2009 16:02:00
Call;6 000 pts;19 mars 10;--;--;500/1;--;--;1392S;FR0010291799;11/05/2009 17:54:42
Call;6 500 pts;19 mars 10;--;--;200/1;--;--;1629S;FR0010304568;20/05/2009 17:54:52
Call;7 000 pts;19 mars 10;--;--;500/1;--;--;2013S;FR0010317552;25/03/2009 11:51:44
Call;7 500 pts;19 mars 10;--;--;200/1;--;--;1175S;FR0010484238;07/04/2009 17:54:48
Put;2 000 pts;19 mars 10;--;--;200/1;--;--;6183S;FR0010736793;21/12/2009 12:39:52
Put;2 200 pts;19 mars 10;--;--;200/1;--;--;6359S;FR0010749085;24/12/2009 14:11:45
