Warrants Actions;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
ACCOR  34,56 €;;;;;;;;;;
Call;90 €;17 déc. 10;0,45 € (c);0,46 € (c);10/1;32,4 %;5,58;0631S;FR0010836254;08/02/2010 17:14:53
Call;90 €;16 mars 12;0,48 € (c);0,49 € (c);20/1;42,8 %;3,45;9952S;FR0010723510;08/02/2010 17:21:11
Call;120 €;16 mars 12;0,13 € (c);0,14 € (c);20/1;16 %;4,60;9297S;FR0010676791;08/02/2010 13:47:21
Call;100 €;15 mars 13;0,49 € (c);0,50 € (c);20/1;38,2 %;3,02;9953S;FR0010723528;08/02/2010 17:21:11
Call;150 €;15 mars 13;0,17 € (c);0,18 € (c);10/1;10 %;4,46;8701S;FR0010642850;08/02/2010 17:18:19
Call;120 €;21 mars 14;0,82 € (c);0,83 € (c);10/1;30,2 %;2,87;0632S;FR0010836262;08/02/2010 17:14:24
;;;;;;;;;;
ALCATEL LUCENT  2,35 €;;;;;;;;;;
Call;2,50 €;19 mars 10;0,05 € (c);0,06 € (c);2/1;36,8 %;7,76;6489S;FR0010759654;08/02/2010 14:35:29
Call;2,75 €;19 mars 10;0,05 € (c);0,06 € (c);1/1;19,9 %;8,45;0935S;FR0010852756;08/02/2010 16:04:17
Call;3 €;19 mars 10;0,01 € (c);0,03 € (c);2/1;8,4 %;4,86;9773S;FR0010715466;08/02/2010 12:15:27
Call;3,50 €;19 mars 10;0,01 € (c);0,03 € (c);2/1;1,6 %;0,91;0321S;FR0010805846;08/02/2010 12:15:27
Call;4 €;19 mars 10;--;--;2/1;--;--;0322S;FR0010805853;27/01/2010 09:03:52
Call;5 €;19 mars 10;--;--;2/1;--;--;8704S;FR0010642884;04/11/2009 10:53:18
Call;6 €;19 mars 10;--;--;2/1;--;--;2420S;FR0010589721;30/12/2009 13:07:53
Call;6 €;19 mars 10;--;--;2/1;--;--;3278S;FR0010594531;30/12/2009 13:07:53
Call;8 €;19 mars 10;--;--;2/1;--;--;3824S;FR0010552331;30/12/2009 13:07:53
Call;10 €;19 mars 10;--;--;2/1;--;--;4098S;FR0010432435;30/12/2009 13:07:53
Call;15 €;19 mars 10;--;--;4/1;--;--;2569S;FR0010348888;30/12/2009 13:07:53
Put;2,50 €;19 mars 10;0,13 € (c);0,14 € (c);2/1; 59 %;5,16;0072S;FR0010796573;08/02/2010 16:57:52
Call;20 €;31 mars 10;--;--;4/1;--;--;4378S;FR0010240077;19/01/2010 09:02:29
Call;2,50 €;18 juin 10;0,12 € (c);0,13 € (c);2/1;47,6 %;4,48;6672S;FR0010773853;08/02/2010 16:48:24
Call;3 €;18 juin 10;0,05 € (c);0,06 € (c);2/1;23,4 %;4,91;6490S;FR0010759662;08/02/2010 13:50:32
Call;4 €;18 juin 10;0,01 € (c);0,03 € (c);2/1;6,2 %;3,75;6491S;FR0010759670;08/02/2010 09:04:34
