Warrants Actions;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
ACCOR  34,56 €;;;;;;;;;;
Call;48,60 €;17 déc. 10;0,64 € (c);0,65 € (c);9,72/1;52,4 %;3,98;9972S;FR0010723700;08/02/2010 17:28:19
Call;58,31 €;17 déc. 10;0,28 € (c);0,29 € (c);9,72/1;29,3 %;5,02;9613S;FR0010694463;08/02/2010 17:29:28
Call;68,03 €;17 déc. 10;0,14 € (c);0,15 € (c);9,72/1;13,9 %;4,63;0091S;FR0010796763;08/02/2010 16:43:19
Call;72,89 €;17 déc. 10;0,06 € (c);0,07 € (c);9,72/1;7,5 %;5,62;9432S;FR0010679480;08/02/2010 16:49:10
Call;77,75 €;17 déc. 10;0,03 € (c);0,05 € (c);9,72/1;5 %;6,04;8726S;FR0010643106;08/02/2010 16:39:56
Call;87,47 €;17 déc. 10;0,01 € (c);0,03 € (c);9,72/1;1,1 %;2,74;3369S;FR0010594747;08/02/2010 09:05:32
Call;43,74 €;18 mars 11;1,03 € (c);1,06 € (c);9,72/1;64 %;3,00;6224S;FR0010737148;08/02/2010 17:28:45
Call;53,45 €;18 mars 11;0,55 € (c);0,56 € (c);9,72/1;43,8 %;3,86;9973S;FR0010723718;08/02/2010 17:18:30
Call;60 €;18 mars 11;0,39 € (c);0,40 € (c);10/1;31,4 %;3,78;0555S;FR0010818195;08/02/2010 17:28:45
Call;70 €;18 mars 11;0,32 € (c);0,33 € (c);5/1;16 %;4,68;0785S;FR0010837799;08/02/2010 17:17:23
Call;77,75 €;18 mars 11;0,06 € (c);0,07 € (c);9,72/1;8,2 %;6,19;9433S;FR0010679498;08/02/2010 17:13:34
Call;82,61 €;18 mars 11;0,03 € (c);0,05 € (c);9,72/1;4,7 %;5,68;8727S;FR0010643114;08/02/2010 16:10:03
Call;92,33 €;18 mars 11;0,01 € (c);0,03 € (c);9,72/1;2,3 %;5,76;3370S;FR0010594754;08/02/2010 09:05:32
Call;38,88 €;16 mars 12;1,48 € (c);1,53 € (c);9,72/1;71 %;2,31;6225S;FR0010737155;08/02/2010 17:29:49
Call;48,60 €;16 mars 12;1,94 € (c);2,00 € (c);4,86/1;56,1 %;2,79;6125S;FR0010731935;08/02/2010 17:28:54
Call;58,31 €;16 mars 12;0,63 € (c);0,64 € (c);9,72/1;41,2 %;3,17;9974S;FR0010723726;08/02/2010 17:29:34
Call;68,03 €;16 mars 12;0,39 € (c);0,40 € (c);9,72/1;27,7 %;3,41;9785S;FR0010715581;08/02/2010 16:55:04
Call;77,75 €;16 mars 12;0,07 € (c);0,08 € (c);19,44/1;14 %;4,53;3371S;FR0010594762;08/02/2010 16:43:04
Call;97,19 €;16 mars 12;0,05 € (c);0,06 € (c);9,72/1;5,2 %;4,62;4474S;FR0010448068;08/02/2010 16:43:25
Call;136,07 €;16 mars 12;0,01 € (c);0,03 € (c);9,72/1;0,6 %;1,35;4245S;FR0010441618;08/02/2010 09:05:32
Call;155,50 €;16 mars 12;0,01 € (c);0,03 € (c);9,72/1;0,4 %;1,06;3787S;FR0010420943;08/02/2010 09:05:32
Call;58,31 €;15 mars 13;0,83 € (c);0,84 € (c);9,72/1;45,4 %;2,66;6226S;FR0010737163;08/02/2010 17:28:12
Call;68,03 €;15 mars 13;0,56 € (c);0,57 € (c);9,72/1;33,5 %;2,90;9975S;FR0010723734;08/02/2010 17:17:23
Call;80 €;15 mars 13;0,32 € (c);0,33 € (c);10/1;21,8 %;3,19;0556S;FR0010818203;08/02/2010 17:25:21
Call;90 €;15 mars 13;0,24 € (c);0,25 € (c);10/1;15,7 %;3,04;0497S;FR0010817577;08/02/2010 16:55:06
Call;106,91 €;15 mars 13;0,07 € (c);0,08 € (c);9,72/1;6,2 %;3,94;8728S;FR0010643122;08/02/2010 15:59:30
Call;90 €;21 mars 14;0,84 € (c);0,85 € (c);5/1;22,8 %;2,57;0652S;FR0010836460;08/02/2010 17:26:22
;;;;;;;;;;
BOUYGUES  34,96 €;;;;;;;;;;
Call;40 €;19 mars 10;0,03 € (c);0,05 € (c);10/1;16 %;14,06;0092S;FR0010796771;08/02/2010 11:38:55
Put;30 €;19 mars 10;0,04 € (c);0,06 € (c);10/1; 14,8 %;10,33;0093S;FR0010796789;08/02/2010 16:54:22
Call;30 €;18 juin 10;0,58 € (c);0,59 € (c);10/1;70,8 %;4,23;6683S;FR0010773960;08/02/2010 17:27:08
Call;40 €;18 juin 10;0,13 € (c);0,14 € (c);10/1;25,4 %;6,55;0094S;FR0010796797;08/02/2010 16:49:00
Call;45 €;18 juin 10;0,03 € (c);0,05 € (c);10/1;8,6 %;7,46;6436S;FR0010759084;08/02/2010 15:58:49
Put;30 €;18 juin 10;0,22 € (c);0,23 € (c);10/1; 28,8 %;4,48;0653S;FR0010836478;08/02/2010 17:15:05
Call;40 €;17 sept. 10;0,23 € (c);0,24 € (c);10/1;33,1 %;4,90;0654S;FR0010836486;08/02/2010 16:41:40
Call;45 €;17 sept. 10;0,11 € (c);0,12 € (c);10/1;18,4 %;5,54;0498S;FR0010817585;08/02/2010 15:53:18
Call;50 €;17 sept. 10;0,05 € (c);0,06 € (c);10/1;9,1 %;5,77;0499S;FR0010817593;08/02/2010 16:40:01
Call;45 €;17 déc. 10;0,19 € (c);0,20 € (c);10/1;25,3 %;4,54;0655S;FR0010836494;08/02/2010 17:25:17
Call;50 €;17 déc. 10;0,10 € (c);0,11 € (c);10/1;15 %;4,96;0500S;FR0010817601;08/02/2010 16:40:01
Call;45 €;18 mars 11;0,27 € (c);0,28 € (c);10/1;29,9 %;3,79;0656S;FR0010836502;08/02/2010 16:43:04
Call;85 €;15 mars 13;0,09 € (c);0,10 € (c);10/1;9,9 %;3,65;8731S;FR0010643155;08/02/2010 17:27:08
Call;70 €;21 mars 14;0,34 € (c);0,35 € (c);10/1;24,5 %;2,48;0657S;FR0010836510;08/02/2010 17:25:17
;;;;;;;;;;
CAP GEMINI  31,22 €;;;;;;;;;;
Call;35 €;19 mars 10;0,04 € (c);0,06 € (c);10/1;19,7 %;12,35;0786S;FR0010837807;08/02/2010 17:00:43
Call;40 €;19 mars 10;0,01 € (c);0,03 € (c);10/1;2,3 %;3,62;0096S;FR0010796813;08/02/2010 09:01:48
Put;30 €;19 mars 10;0,11 € (c);0,12 € (c);10/1; 35,6 %;9,67;0097S;FR0010796821;08/02/2010 17:29:51
Call;36 €;18 juin 10;0,09 € (c);0,10 € (c);10/1;25,3 %;8,33;0787S;FR0010837815;08/02/2010 17:12:48
Call;37 €;17 sept. 10;0,16 € (c);0,17 € (c);10/1;28,6 %;5,39;0788S;FR0010837823;08/02/2010 15:59:57
Call;45 €;17 sept. 10;0,02 € (c);0,04 € (c);10/1;7,9 %;8,26;0502S;FR0010817627;08/02/2010 17:00:43
Call;40 €;17 déc. 10;0,15 € (c);0,16 € (c);10/1;25,5 %;5,15;0658S;FR0010836528;08/02/2010 16:50:40
Call;45 €;17 déc. 10;0,07 € (c);0,08 € (c);10/1;12,6 %;5,24;0557S;FR0010818211;08/02/2010 17:29:38
Call;85 €;15 mars 13;0,02 € (c);0,04 € (c);10/1;4,6 %;4,81;8734S;FR0010643189;08/02/2010 11:12:06
Call;50 €;21 mars 14;0,48 € (c);0,50 € (c);10/1;36,9 %;2,38;0789S;FR0010837831;08/02/2010 17:29:51
;;;;;;;;;;
CARREFOUR  34,33 €;;;;;;;;;;
Call;35 €;19 mars 10;0,29 € (c);0,30 € (c);5/1;45,9 %;10,67;0323S;FR0010805861;08/02/2010 17:29:54
Put;30 €;19 mars 10;0,09 € (c);0,10 € (c);5/1; 15,7 %;11,30;0098S;FR0010796839;08/02/2010 17:00:04
Call;35 €;18 juin 10;0,44 € (c);0,45 € (c);5/1;44,5 %;6,87;0559S;FR0010818237;08/02/2010 17:24:25
Call;40 €;18 juin 10;0,11 € (c);0,12 € (c);5/1;15,9 %;9,45;6438S;FR0010759100;08/02/2010 16:05:18
Put;30 €;18 juin 10;0,35 € (c);0,36 € (c);5/1; 29,1 %;5,61;0659S;FR0010836536;08/02/2010 17:07:31
Call;35 €;17 sept. 10;0,62 € (c);0,63 € (c);5/1;47,7 %;5,23;0560S;FR0010818245;08/02/2010 17:18:15
Call;40 €;17 sept. 10;0,29 € (c);0,30 € (c);5/1;27,4 %;6,37;0324S;FR0010805879;08/02/2010 17:18:44
Call;40 €;17 déc. 10;0,42 € (c);0,43 € (c);5/1;32,4 %;5,22;0660S;FR0010836544;08/02/2010 17:19:47
Call;40 €;18 mars 11;0,54 € (c);0,55 € (c);5/1;35,9 %;4,51;0661S;FR0010836551;08/02/2010 17:07:51
Call;50 €;15 mars 13;0,66 € (c);0,67 € (c);5/1;30,8 %;3,17;0503S;FR0010817635;08/02/2010 17:11:57
Call;65 €;15 mars 13;0,26 € (c);0,27 € (c);5/1;14,2 %;3,68;8739S;FR0010643239;08/02/2010 17:07:54
Call;55 €;21 mars 14;0,74 € (c);0,75 € (c);5/1;30 %;2,76;0662S;FR0010836569;08/02/2010 17:00:04
;;;;;;;;;;
CGG VERITAS  17,37 €;;;;;;;;;;
Call;22 €;18 juin 10;0,60 € (c);0,61 € (c);2/1;30,7 %;4,41;0976S;FR0010853358;08/02/2010 17:29:16
Call;25 €;17 sept. 10;0,69 € (c);0,70 € (c);2/1;28,4 %;3,55;0977S;FR0010853366;08/02/2010 17:21:14
Call;27 €;17 déc. 10;0,81 € (c);0,83 € (c);2/1;28,9 %;3,08;0978S;FR0010853374;08/02/2010 17:29:17
;;;;;;;;;;
CREDIT AGRICOLE  10,32 €;;;;;;;;;;
Call;13 €;19 mars 10;0,05 € (c);0,06 € (c);2/1;8,3 %;7,64;0791S;FR0010837856;08/02/2010 16:48:58
Call;14 €;19 mars 10;0,01 € (c);0,03 € (c);2/1;3,4 %;8,67;0104S;FR0010796896;08/02/2010 09:01:47
Call;15 €;19 mars 10;0,01 € (c);0,03 € (c);2/1;1 %;2,56;0670S;FR0010836643;08/02/2010 09:01:49
Call;16 €;19 mars 10;0,01 € (c);0,03 € (c);2/1;0,2 %;0,64;6441S;FR0010759134;08/02/2010 09:01:49
Call;18 €;19 mars 10;0,01 € (c);0,03 € (c);2/1;0 %;0,02;6442S;FR0010759142;08/02/2010 09:01:49
Call;12 €;18 juin 10;0,13 € (c);0,15 € (c);4/1;29,4 %;5,24;0945S;FR0010852855;08/02/2010 17:29:33
Call;14 €;18 juin 10;0,10 € (c);0,11 € (c);2/1;11,4 %;5,58;6688S;FR0010774018;08/02/2010 17:21:19
Call;16 €;18 juin 10;0,01 € (c);0,03 € (c);2/1;3,3 %;8,61;6443S;FR0010759159;08/02/2010 10:42:22
Call;18 €;18 juin 10;0,01 € (c);0,03 € (c);2/1;0,7 %;1,88;0508S;FR0010817684;08/02/2010 09:01:50
Call;14 €;17 sept. 10;0,22 € (c);0,23 € (c);2/1;18,9 %;4,30;0105S;FR0010796904;08/02/2010 17:00:09
Call;16 €;17 sept. 10;0,08 € (c);0,09 € (c);2/1;8,6 %;5,14;0106S;FR0010796912;08/02/2010 16:59:43
Call;18 €;17 sept. 10;0,02 € (c);0,04 € (c);2/1;2,9 %;4,86;0509S;FR0010817692;08/02/2010 16:05:44
Call;20 €;17 sept. 10;0,01 € (c);0,03 € (c);2/1;1,1 %;2,81;0510S;FR0010817700;08/02/2010 09:01:50
Call;14 €;17 déc. 10;0,34 € (c);0,35 € (c);2/1;24,2 %;3,59;0107S;FR0010796920;08/02/2010 17:06:31
Call;16 €;17 déc. 10;0,16 € (c);0,17 € (c);2/1;12,8 %;3,94;0108S;FR0010796938;08/02/2010 16:54:44
Call;18 €;17 déc. 10;0,06 € (c);0,07 € (c);2/1;6,1 %;4,72;0109S;FR0010796946;08/02/2010 16:29:06
Call;20 €;17 déc. 10;0,02 € (c);0,04 € (c);2/1;2,6 %;4,51;0511S;FR0010817718;08/02/2010 16:59:00
Call;16 €;18 mars 11;0,21 € (c);0,22 € (c);2/1;16,6 %;3,94;0946S;FR0010852863;08/02/2010 17:00:04
Call;18 €;18 mars 11;0,11 € (c);0,12 € (c);2/1;9,1 %;4,01;0671S;FR0010836650;08/02/2010 16:54:44
Call;20 €;18 mars 11;0,03 € (c);0,05 € (c);2/1;3,9 %;4,87;0672S;FR0010836668;08/02/2010 15:51:50
Call;11 €;16 mars 12;1,06 € (c);1,09 € (c);2/1;53,4 %;2,56;6229S;FR0010737197;08/02/2010 17:27:40
Call;14 €;16 mars 12;0,58 € (c);0,59 € (c);2/1;34,6 %;3,04;6230S;FR0010737205;08/02/2010 17:21:11
Call;17 €;16 mars 12;0,35 € (c);0,36 € (c);2/1;21,3 %;3,08;9981S;FR0010723809;08/02/2010 17:05:33
Call;20 €;16 mars 12;0,06 € (c);0,08 € (c);4/1;9,9 %;3,55;8749S;FR0010643338;08/02/2010 16:07:49
Call;23,07 €;16 mars 12;0,01 € (c);0,03 € (c);9,23/1;4,6 %;2,58;3430S;FR0010594986;08/02/2010 09:01:49
Call;27,68 €;16 mars 12;0,01 € (c);0,03 € (c);3,69/1;2,1 %;2,92;3888S;FR0010552687;08/02/2010 09:01:48
Call;36,91 €;16 mars 12;0,01 € (c);0,03 € (c);9,23/1;0,4 %;0,22;2032S;FR0010508937;08/02/2010 09:01:47
Call;46,14 €;16 mars 12;0,01 € (c);0,03 € (c);3,69/1;0,2 %;0,21;4487S;FR0010448191;08/02/2010 09:02:44
Call;55,37 €;16 mars 12;0,01 € (c);0,03 € (c);3,69/1;0 %;0,05;3813S;FR0010421206;08/02/2010 09:02:44
Call;20 €;15 mars 13;0,37 € (c);0,38 € (c);2/1;18,8 %;2,57;6231S;FR0010737213;08/02/2010 17:05:33
Call;25 €;15 mars 13;0,18 € (c);0,19 € (c);2/1;10,6 %;2,94;6232S;FR0010737221;08/02/2010 17:27:40
Call;30 €;15 mars 13;0,04 € (c);0,06 € (c);4/1;5,9 %;2,99;8750S;FR0010643346;08/02/2010 16:59:00
Call;25 €;21 mars 14;0,29 € (c);0,30 € (c);2/1;15 %;2,60;0673S;FR0010836676;08/02/2010 16:58:50
;;;;;;;;;;
DANONE  40,95 €;;;;;;;;;;
Call;40 €;19 mars 10;0,22 € (c);0,23 € (c);10/1;60,8 %;11,05;0110S;FR0010796953;08/02/2010 17:18:01
Call;45 €;19 mars 10;0,03 € (c);0,05 € (c);10/1;13,9 %;14,09;0325S;FR0010805887;08/02/2010 15:35:16
Put;35 €;19 mars 10;0,01 € (c);0,03 € (c);10/1; 8,7 %;17,78;0111S;FR0010796961;08/02/2010 16:03:19
Call;40 €;18 juin 10;0,30 € (c);0,32 € (c);10/1;52,6 %;6,84;6690S;FR0010774034;08/02/2010 17:29:30
Call;45 €;18 juin 10;0,11 € (c);0,12 € (c);10/1;25 %;8,88;0674S;FR0010836684;08/02/2010 16:49:00
Call;47,18 €;18 juin 10;0,05 € (c);0,06 € (c);9,43/1;15,5 %;12,21;6445S;FR0010759175;08/02/2010 17:15:11
Put;35 €;18 juin 10;0,11 € (c);0,12 € (c);10/1; 22,4 %;7,97;0675S;FR0010836692;08/02/2010 16:55:04
Call;40 €;17 sept. 10;0,40 € (c);0,42 € (c);10/1;54,2 %;5,35;0112S;FR0010796979;08/02/2010 17:29:30
Call;45 €;17 sept. 10;0,20 € (c);0,21 € (c);10/1;32,6 %;6,49;0676S;FR0010836700;08/02/2010 16:55:04
Call;50 €;17 sept. 10;0,08 € (c);0,09 € (c);10/1;16,9 %;8,13;0326S;FR0010805895;08/02/2010 17:15:11
Call;50 €;18 mars 11;0,19 € (c);0,20 € (c);10/1;25,5 %;5,33;0677S;FR0010836718;08/02/2010 16:31:11
Call;50 €;15 mars 13;0,52 € (c);0,53 € (c);10/1;39,7 %;3,09;6691S;FR0010774042;08/02/2010 16:55:04
Call;70,77 €;15 mars 13;0,11 € (c);0,12 € (c);9,43/1;11,3 %;4,24;8753S;FR0010643379;08/02/2010 16:03:19
Call;75,49 €;15 mars 13;0,10 € (c);0,11 € (c);9,43/1;9,8 %;4,04;8754S;FR0010643387;08/02/2010 16:49:00
Call;60 €;21 mars 14;0,40 € (c);0,42 € (c);10/1;30,5 %;3,01;0678S;FR0010836726;08/02/2010 17:29:30
;;;;;;;;;;
DELL  13,67 $;;;;;;;;;;
Call;18 $;17 déc. 10;0,33 € (c);0,35 € (c);2/1;28,9 %;4,24;9870S;FR0010717967;08/02/2010 17:29:11
;;;;;;;;;;
DEXIA  4,23 €;;;;;;;;;;
Call;5 €;19 mars 10;0,03 € (c);0,05 € (c);2/1;15,2 %;7,84;6042S;FR0010724559;08/02/2010 15:02:23
Call;5,50 €;19 mars 10;0,01 € (c);0,03 € (c);2/1;3,3 %;3,34;0679S;FR0010836734;08/02/2010 13:38:25
Call;6 €;19 mars 10;0,01 € (c);0,03 € (c);2/1;0,5 %;0,53;9629S;FR0010694620;08/02/2010 13:38:25
Call;7 €;19 mars 10;   € (c);   € (c);2/1;0 %;31,20;0564S;FR0010818286;08/02/2010 17:21:02
Call;8 €;19 mars 10;--;--;2/1;--;--;9630S;FR0010694638;27/01/2010 09:03:52
Call;16 €;19 mars 10;--;--;2/1;--;--;8761S;FR0010643452;30/12/2009 15:34:05
Call;22 €;19 mars 10;0,01 € (c);0,02 € (c);5/1;0 %;  ;3432S;FR0010595009;08/02/2010 13:38:25
Call;6 €;18 juin 10;0,03 € (c);0,05 € (c);2/1;10,7 %;5,59;0680S;FR0010836742;08/02/2010 16:10:51
Call;8 €;18 juin 10;--;--;2/1;--;--;6479S;FR0010759514;27/01/2010 09:03:52
Call;9 €;18 juin 10;--;--;2/1;--;--;0513S;FR0010817734;27/01/2010 09:03:52
Call;5 €;17 sept. 10;0,20 € (c);0,21 € (c);2/1;39,7 %;4,10;0947S;FR0010852871;08/02/2010 17:15:39
Call;6 €;17 sept. 10;0,08 € (c);0,09 € (c);2/1;18,3 %;4,49;0681S;FR0010836759;08/02/2010 16:07:39
Call;8 €;17 sept. 10;0,01 € (c);0,03 € (c);2/1;1,9 %;1,95;0113S;FR0010796987;08/02/2010 13:38:25
Call;9 €;17 sept. 10;0,01 € (c);0,03 € (c);2/1;0,5 %;0,52;0514S;FR0010817742;08/02/2010 13:38:25
Call;10 €;17 sept. 10;--;--;2/1;--;--;0114S;FR0010796995;27/01/2010 09:03:52
Call;6 €;17 déc. 10;0,11 € (c);0,12 € (c);2/1;23,2 %;4,25;6043S;FR0010724575;08/02/2010 17:04:19
Call;7 €;17 déc. 10;0,05 € (c);0,06 € (c);2/1;13 %;5,03;0682S;FR0010836767;08/02/2010 17:15:39
Call;8 €;17 déc. 10;0,02 € (c);0,04 € (c);2/1;5,4 %;3,78;9847S;FR0010716209;08/02/2010 16:10:51
Call;9 €;17 déc. 10;0,01 € (c);0,03 € (c);2/1;1,9 %;1,96;0515S;FR0010817759;08/02/2010 13:38:25
Call;17 €;17 déc. 10;--;--;2/1;--;--;8762S;FR0010643460;27/01/2010 09:03:51
Call;23 €;17 déc. 10;--;--;5/1;--;--;3434S;FR0010595017;19/01/2010 09:02:51
Call;6 €;18 mars 11;0,12 € (c);0,13 € (c);2/1;27 %;4,57;6044S;FR0010724591;08/02/2010 17:28:35
Call;7 €;18 mars 11;0,09 € (c);0,10 € (c);2/1;17,4 %;3,87;0683S;FR0010836775;08/02/2010 17:18:42
Call;8 €;18 mars 11;0,03 € (c);0,05 € (c);2/1;7,8 %;4,04;9631S;FR0010694646;08/02/2010 15:53:27
Call;10 €;18 mars 11;0,01 € (c);0,03 € (c);2/1;1,9 %;1,96;9443S;FR0010679597;08/02/2010 13:38:25
Call;15 €;18 mars 11;--;--;2/1;--;--;9074S;FR0010659367;27/01/2010 09:03:49
Call;23 €;18 mars 11;--;--;5/1;--;--;8214S;FR0010624114;30/12/2009 15:34:05
Call;8 €;16 mars 12;0,15 € (c);0,16 € (c);2/1;20,8 %;2,84;0684S;FR0010836783;08/02/2010 17:18:42
Call;12 €;16 mars 12;0,02 € (c);0,04 € (c);2/1;4,3 %;2,92;0115S;FR0010797001;08/02/2010 13:38:25
Call;8 €;15 mars 13;0,42 € (c);0,43 € (c);1/1;28,1 %;2,80;0850S;FR0010843300;08/02/2010 17:28:35
Call;10 €;15 mars 13;0,14 € (c);0,15 € (c);2/1;17,5 %;2,53;0685S;FR0010836791;08/02/2010 16:44:00
Call;14 €;15 mars 13;0,04 € (c);0,06 € (c);2/1;7,2 %;3,04;0116S;FR0010797019;08/02/2010 17:15:39
Call;23 €;15 mars 13;0,01 € (c);0,03 € (c);2/1;1 %;0,99;8763S;FR0010643478;08/02/2010 13:38:25
Call;12 €;21 mars 14;0,16 € (c);0,17 € (c);2/1;17,5 %;2,20;0686S;FR0010836809;08/02/2010 15:53:27
;;;;;;;;;;
EADS  14,02 €;;;;;;;;;;
Call;13 €;19 mars 10;0,36 € (c);0,37 € (c);4/1;72,2 %;6,94;0691S;FR0010836858;08/02/2010 17:20:12
Call;14 €;19 mars 10;0,20 € (c);0,21 € (c);4/1;53,7 %;9,21;0794S;FR0010837880;08/02/2010 17:14:53
Call;15 €;19 mars 10;0,10 € (c);0,11 € (c);4/1;32,3 %;10,77;6694S;FR0010774075;08/02/2010 17:26:45
Call;17 €;19 mars 10;0,01 € (c);0,03 € (c);5/1;7,2 %;10,18;0328S;FR0010805911;08/02/2010 09:01:48
Call;20 €;19 mars 10;--;--;5/1;--;--;4008S;FR0010605295;30/12/2009 09:09:26
Call;25 €;19 mars 10;--;--;10/1;--;--;1808S;FR0010580258;30/12/2009 09:09:24
Call;30 €;19 mars 10;--;--;5/1;--;--;2207S;FR0010512343;30/12/2009 09:09:28
Call;35 €;19 mars 10;--;--;5/1;--;--;4275S;FR0010441915;30/12/2009 09:09:26
Call;40 €;19 mars 10;--;--;5/1;--;--;4276S;FR0010441923;30/12/2009 09:09:26
Put;12 €;19 mars 10;0,05 € (c);0,06 € (c);4/1; 13,7 %;8,76;0122S;FR0010797076;08/02/2010 17:16:47
Call;11 €;18 juin 10;0,84 € (c);0,85 € (c);4/1;82,7 %;3,43;0795S;FR0010837898;08/02/2010 17:26:45
Call;14 €;18 juin 10;0,35 € (c);0,36 € (c);4/1;53,6 %;5,31;0692S;FR0010836866;08/02/2010 17:13:41
Call;16 €;18 juin 10;0,15 € (c);0,16 € (c);4/1;30,6 %;6,94;6695S;FR0010774083;08/02/2010 17:16:16
Call;18 €;18 juin 10;0,05 € (c);0,06 € (c);4/1;14,1 %;8,99;6449S;FR0010759217;08/02/2010 17:13:41
Call;15 €;17 sept. 10;0,35 € (c);0,36 € (c);4/1;46,3 %;4,59;0796S;FR0010837906;08/02/2010 17:13:41
Call;18 €;17 sept. 10;0,13 € (c);0,14 € (c);4/1;22 %;5,72;0123S;FR0010797084;08/02/2010 17:16:47
Call;16 €;17 déc. 10;0,34 € (c);0,35 € (c);4/1;41,5 %;4,22;0693S;FR0010836874;08/02/2010 17:16:47
Call;18 €;17 déc. 10;0,21 € (c);0,22 € (c);4/1;28,4 %;4,66;0124S;FR0010797092;08/02/2010 17:09:49
Call;20 €;16 mars 12;0,31 € (c);0,32 € (c);5/1;35 %;3,13;9317S;FR0010676999;08/02/2010 17:10:51
Call;25 €;15 mars 13;0,32 € (c);0,33 € (c);4/1;27,8 %;3,00;0694S;FR0010836882;08/02/2010 17:20:12
Call;30 €;15 mars 13;0,18 € (c);0,19 € (c);4/1;16,5 %;3,13;8772S;FR0010643569;08/02/2010 17:29:31
Call;25 €;21 mars 14;0,51 € (c);0,52 € (c);4/1;35,4 %;2,42;0695S;FR0010836890;08/02/2010 17:10:03
;;;;;;;;;;
EDF  37,89 €;;;;;;;;;;
Call;40 €;19 mars 10;0,18 € (c);0,19 € (c);5/1;30,4 %;12,48;0117S;FR0010797027;08/02/2010 17:25:26
Call;43 €;19 mars 10;0,04 € (c);0,06 € (c);5/1;9,7 %;14,67;0687S;FR0010836817;08/02/2010 17:23:01
Call;45 €;19 mars 10;0,01 € (c);0,03 € (c);5/1;3,9 %;14,73;0517S;FR0010817775;08/02/2010 09:01:50
Put;35 €;19 mars 10;0,10 € (c);0,11 € (c);5/1; 21,4 %;15,38;0118S;FR0010797035;08/02/2010 16:51:30
Call;37 €;18 juin 10;0,64 € (c);0,66 € (c);5/1;55,3 %;6,40;0792S;FR0010837864;08/02/2010 17:29:26
Call;40 €;18 juin 10;0,18 € (c);0,19 € (c);10/1;37,1 %;7,57;0948S;FR0010852889;08/02/2010 16:54:19
Call;45 €;18 juin 10;0,10 € (c);0,11 € (c);5/1;12,9 %;9,28;6447S;FR0010759191;08/02/2010 17:21:04
Call;45 €;17 sept. 10;0,27 € (c);0,28 € (c);5/1;22,2 %;6,08;0119S;FR0010797043;08/02/2010 15:53:10
Call;50 €;17 sept. 10;0,08 € (c);0,09 € (c);5/1;10,5 %;9,37;0569S;FR0010818336;08/02/2010 14:54:59
Call;45 €;17 déc. 10;0,38 € (c);0,39 € (c);5/1;26,2 %;5,14;0120S;FR0010797050;08/02/2010 16:05:56
Call;50 €;18 mars 11;0,25 € (c);0,26 € (c);5/1;18,8 %;5,59;0688S;FR0010836825;08/02/2010 17:28:58
Call;55 €;16 mars 12;0,39 € (c);0,40 € (c);5/1;21,1 %;4,03;0793S;FR0010837872;08/02/2010 16:48:59
Call;60 €;16 mars 12;0,22 € (c);0,23 € (c);5/1;12,5 %;4,18;0121S;FR0010797068;08/02/2010 15:51:05
Call;70 €;16 mars 12;0,08 € (c);0,09 € (c);5/1;5,8 %;5,22;9800S;FR0010715730;08/02/2010 09:00:01
Call;90 €;16 mars 12;0,01 € (c);0,03 € (c);20/1;0,9 %;0,88;3442S;FR0010595074;08/02/2010 09:01:48
Call;110 €;16 mars 12;--;--;10/1;--;--;3823S;FR0010421305;18/01/2010 09:04:33
Call;150 €;16 mars 12;--;--;10/1;--;--;3354S;FR0010545426;27/01/2010 09:03:50
Call;50 €;15 mars 13;0,88 € (c);0,89 € (c);5/1;35,2 %;3,01;6693S;FR0010774067;08/02/2010 17:21:23
Call;60 €;15 mars 13;0,48 € (c);0,49 € (c);5/1;21,5 %;3,35;0689S;FR0010836833;08/02/2010 17:21:23
Call;80 €;15 mars 13;0,02 € (c);0,04 € (c);10/1;4,6 %;5,84;9984S;FR0010723833;08/02/2010 15:29:45
Call;115 €;15 mars 13;0,01 € (c);0,03 € (c);10/1;0,8 %;1,61;8764S;FR0010643486;08/02/2010 09:01:48
Call;65 €;21 mars 14;0,57 € (c);0,58 € (c);5/1;22 %;2,89;0690S;FR0010836841;08/02/2010 16:54:19
;;;;;;;;;;
EDF ENERGIES NOUVELLES  33,82 €;;;;;;;;;;
Call;40 €;19 mars 10;0,03 € (c);0,05 € (c);10/1;14,5 %;12,27;0565S;FR0010818294;08/02/2010 17:14:54
Call;50 €;19 mars 10;0,01 € (c);0,03 € (c);10/1;0,4 %;0,63;0566S;FR0010818302;08/02/2010 09:01:48
Call;40 €;18 juin 10;0,31 € (c);0,32 € (c);5/1;27,9 %;5,99;0979S;FR0010853382;08/02/2010 17:14:32
Call;45 €;17 sept. 10;0,18 € (c);0,19 € (c);10/1;24,5 %;4,44;0567S;FR0010818310;08/02/2010 15:11:20
Call;55 €;17 sept. 10;0,05 € (c);0,06 € (c);10/1;9,6 %;5,94;0568S;FR0010818328;08/02/2010 09:00:00
Call;45 €;17 déc. 10;0,44 € (c);0,45 € (c);5/1;27,4 %;4,17;0980S;FR0010853390;08/02/2010 17:13:46
Call;50 €;18 mars 11;0,43 € (c);0,44 € (c);5/1;23,6 %;3,66;0981S;FR0010853408;08/02/2010 17:09:36
;;;;;;;;;;
ESSILOR  41,25 €;;;;;;;;;;
